radius,ncity,ndp,nap,ndpdc_p,ndpac_p,ndc_p,nac_p,pp,psc,pdc,pac,alpha,beta,gamma,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.2,15,4,2,0.2,0.2,0.2,0.2,0.95,0.6,0.6,0.6,8,-8,0,1,1,1,1,-1.663214872,TRUE,33258,17.8436706
0.4,9,4,2,1,0.2,0.8,0.8,0.95,0.6,0.95,0.95,8,-8,8,4,1,3,1,-0.053346542,TRUE,741,0.729885494
0.2,15,8,2,1,0.2,0.8,0.2,0.6,0.6,0.6,0.95,8,8,0,8,2,6,1,-1.588164777,TRUE,31843,870.3163755
0.4,15,8,6,1,0.2,0.2,0.2,0.6,0.95,0.6,0.6,1,8,0,8,2,2,1,-0.548703612,FALSE,248,1805.660784
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.303723096,FALSE,16170,1800.04439
0.2,9,4,6,1,1,0.8,0.2,0.6,0.95,0.6,0.95,8,-8,0,4,4,3,1,-1.611669792,TRUE,32236,278.8184855
0.2,15,8,2,0.2,1,0.8,0.2,0.6,0.95,0.95,0.6,1,8,0,2,8,2,2,-1.642898099,TRUE,31845,479.4682172
0.4,9,8,2,1,0.2,0.8,0.2,0.95,0.95,0.95,0.6,8,8,0,8,2,6,1,-0.003520099,TRUE,12,0.17716596
0.2,15,8,6,1,1,0.8,0.8,0.95,0.95,0.6,0.6,1,-8,0,8,8,6,6,-2.864408601,FALSE,19,1839.905365
0.2,9,8,2,1,0.2,0.8,0.2,0.95,0.95,0.6,0.95,1,-8,8,8,2,6,1,-0.137660027,TRUE,831,8.422829442
0.2,15,4,6,0.2,0.2,0.8,0.2,0.95,0.95,0.95,0.6,8,8,8,1,1,1,1,-3.00612992,FALSE,14186,1800.093502
0.4,9,4,2,0.2,0.2,0.2,0.2,0.6,0.95,0.95,0.95,8,-8,0,1,1,1,1,-0.474319949,TRUE,6552,1.577177127
0.2,15,4,2,0.2,0.2,0.2,0.2,0.95,0.6,0.6,0.6,8,-8,0,1,1,1,1,-1.663013036,TRUE,33257,17.23748495
0.4,9,4,6,0.2,1,0.2,0.8,0.95,0.6,0.95,0.6,1,8,0,1,4,1,3,-1.876338975,TRUE,26260,66.50006548
0.4,9,4,6,1,0.2,0.2,0.8,0.95,0.95,0.6,0.95,8,8,0,4,1,1,1,-0.132149733,TRUE,1019,2.159692614
0.4,9,8,6,1,1,0.8,0.8,0.6,0.6,0.95,0.95,1,-8,0,8,8,6,6,-0.235967136,FALSE,3876,1800.116982
