size,pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
9,0.95,0.55,0.95,4.0,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,89.655830791
9,0.55,0.95,0.95,0.5,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,90.101524079
9,0.95,0.55,0.55,0.5,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,86.647284408
9,0.55,0.95,0.95,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114852,true,18952,92.802434715
12,0.75,0.75,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.782904457471569,false,4197,3600.583466317
9,0.55,0.55,0.95,4.0,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.947458232005357,true,18952,83.464170424
15,0.55,0.95,0.95,0.5,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.3630781548263453,false,27,3693.465484179
9,0.95,0.55,0.95,4.0,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,82.211701284
12,0.95,0.75,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7828144312757501,false,4171,3600.456295696
15,0.95,0.95,0.55,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3681.29472236
9,0.95,0.95,0.95,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,86.442799742
12,0.75,0.75,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7828878444260954,false,4138,3600.77301934
9,0.95,0.95,0.95,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,89.233133136
15,0.55,0.95,0.55,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.19822378905637,false,27,3709.177530527
15,0.55,0.95,0.55,0.5,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3630781548263453,false,27,3674.315392236
9,0.55,0.55,0.55,0.5,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,83.053962879
9,0.95,0.95,0.95,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,90.500891916
15,0.95,0.55,0.55,0.5,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042373,false,27,3670.089437126
9,0.95,0.55,0.95,0.5,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,84.240869098
9,0.95,0.55,0.55,0.5,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,86.317994291
15,0.95,0.95,0.55,0.5,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042373,false,27,3681.628265347
15,0.55,0.55,0.95,0.5,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3630781548263453,false,27,3694.112097339
9,0.55,0.55,0.95,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,89.674836304
9,0.55,0.55,0.55,0.5,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,87.365815368
9,0.55,0.55,0.95,4.0,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474581518725264,true,18952,93.05187401
15,0.55,0.95,0.55,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.19822378905637,false,27,3681.755434325
12,0.75,0.75,0.95,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7829027893796037,false,4191,3600.411865749
15,0.55,0.55,0.55,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1982237890563687,false,27,3685.058027307
15,0.95,0.95,0.95,0.5,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042377,false,27,3676.512634829
9,0.55,0.95,0.95,0.5,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,85.561546322
12,0.75,0.75,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7828792140589087,false,4108,3600.166315169
9,0.55,0.55,0.55,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,90.844000267
15,0.95,0.55,0.95,4.0,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3701.815904395
9,0.55,0.55,0.55,4.0,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474581518725264,true,18952,91.087297759
9,0.55,0.55,0.55,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474581518725264,true,18952,89.559729235
9,0.55,0.95,0.55,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474581518725264,true,18952,93.234249007
15,0.55,0.55,0.55,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3715.585154081
