pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.9101298135,0.6467047041,0.6647232109,7.0178315808,-4.163425331,0.1149664033,0.3,0.2,13,6,4,6,6,3,3,-1.9630617754345936,false,5471,14400.519869511
0.8892651631,0.6345779251,0.620425468,7.8264883656,2.5799245355,2.5962786215,0.3,0.2,13,6,4,6,6,3,3,-2.056232191919313,false,5417,14400.11095232
0.8258290383,0.8000737387,0.6286841106,5.1549506032,-7.906214793,2.4434351333,0.3,0.2,13,6,4,6,6,3,3,-2.083394569715919,false,5517,14402.321051644
0.8047676585,0.6833403975,0.7565417588,6.7247977242,-4.832594612,0.3116571203,0.3,0.2,13,6,4,6,6,3,3,-1.946215619765853,false,5479,14400.816828539
0.9463763821,0.7422029834,0.6752683405,3.2097436572,-0.082940764,0.4036638616,0.3,0.2,13,6,4,6,6,3,3,-1.8793406011720264,false,5346,14401.516619611
0.8487361279,0.7412495467,0.6172535766,2.8587582075,-4.991922486,3.3300532688,0.3,0.2,13,6,4,6,6,3,3,-2.086011602050531,false,5565,14401.279247974
0.6758800932,0.854861033,0.8451293025,3.5549317529,-2.886557403,3.1900193032,0.3,0.2,13,6,4,6,6,3,3,-1.979782703771804,false,5518,14400.344376946
0.608090311,0.8246997358,0.8596883289,2.5544267712,-5.280603036,1.9530067324,0.3,0.2,13,6,4,6,6,3,3,-2.073120742075379,false,5517,14402.309936049
0.6554988296,0.8599138119,0.7644177091,1.1339233841,-7.850814607,2.7819069025,0.3,0.2,13,6,4,6,6,3,3,-2.1052893655413794,false,5616,14400.093504838
0.7335740845,0.7457156371,0.7791450268,1.3748663454,-7.180802007,4.9585874257,0.3,0.2,13,6,4,6,6,3,3,-2.0002077954912445,false,5591,14401.941240685
0.8223817891,0.8362111972,0.7913830464,3.2780547488,-3.976845649,1.0757865026,0.3,0.2,13,6,4,6,6,3,3,-1.8411488004942933,false,5516,14400.670934863
0.7254120264,0.813158099,0.6096127239,1.8272225003,-3.189712463,3.7286113488,0.3,0.2,13,6,4,6,6,3,3,-2.220158748271209,false,5507,14402.586501911
0.6245764734,0.8022487024,0.6773738471,2.9711647541,-4.315261959,1.4112221593,0.3,0.2,13,6,4,6,6,3,3,-2.254487895236383,false,5495,14400.46310464
0.7209252119,0.9336014202,0.7252714224,1.2314059297,-4.556815046,0.1737657599,0.3,0.2,13,6,4,6,6,3,3,-2.0557697399577655,false,5620,14401.519494681
0.6679697259,0.9107437836,0.6544243932,1.7159394154,-0.796661013,2.6313665163,0.3,0.2,13,6,4,6,6,3,3,-2.211730550758484,false,5555,14401.790086244
0.6129848221,0.6525057524,0.6218916659,4.0464813229,-6.733581945,1.6064613503,0.3,0.2,13,6,4,6,6,3,3,-2.364483435936965,false,5525,14401.370197971
0.8303697298,0.7285281118,0.6525865648,4.1341097941,-1.662834551,1.6525894044,0.3,0.2,13,6,4,6,6,3,3,-2.056166452435599,false,5485,14400.24235282
0.6601484968,0.6716292505,0.6387604178,2.41286886,2.8314586127,2.1785176941,0.3,0.2,13,6,4,6,6,3,3,-2.2862804196630133,false,5420,14402.326190888
0.6102680296,0.7188838605,0.7163078388,3.4753158652,-0.660622656,1.861427521,0.3,0.2,13,6,4,6,6,3,3,-2.2483473169430144,false,5375,14400.226343078
0.7055252643,0.7027352505,0.6250749522,2.1481638033,0.9149084819,4.4233224159,0.3,0.2,13,6,4,6,6,3,3,-2.2439108296207038,false,5433,14401.818795886
0.7012553666,0.8347307021,0.8519827548,2.0026372488,7.6242948159,0.108284911,0.3,0.2,13,6,4,6,6,3,3,-1.9378878116644835,false,5428,14401.410963364
0.7032149,0.8811656572,0.780955593,4.1915777397,4.4492116183,0.9631161295,0.3,0.2,13,6,4,6,6,3,3,-2.0153268429347855,false,5362,14402.221915726
0.734770082,0.8997086039,0.7647384498,2.7549948683,7.7687792032,4.5486019987,0.3,0.2,13,6,4,6,6,3,3,-1.9915344012636444,false,5479,14401.65165921
0.6389830478,0.6901737404,0.8531010701,1.0391084396,1.8787268197,5.9800097163,0.3,0.2,13,6,4,6,6,3,3,-2.0602206320016174,false,5377,14400.980645111
0.6828760501,0.7129845084,0.8208386028,4.1707377294,6.2274440734,0.0498877363,0.3,0.2,13,6,4,6,6,3,3,-2.025047433619745,false,5417,14402.123025314
0.6169756297,0.7361538875,0.8897354034,1.7762619968,6.1785818411,1.0446536772,0.3,0.2,13,6,4,6,6,3,3,-2.0464310444146263,false,5350,14401.411029052
0.7632140143,0.7503191937,0.6824612313,1.2409168506,3.9309154566,1.6670130592,0.3,0.2,13,6,4,6,6,3,3,-2.0892592485299124,false,5396,14401.761981339
0.7232863858,0.7542848562,0.6299709469,3.6155213773,4.5761756984,2.3054289321,0.3,0.2,13,6,4,6,6,3,3,-2.2043456713397847,false,5449,14400.982222438
0.6885423399,0.8692939438,0.6933398634,2.8778997054,3.184923372,4.053736669,0.3,0.2,13,6,4,6,6,3,3,-2.145831338270687,false,5352,14400.984049378
0.6507922332,0.9495762018,0.6723928412,3.3584283567,5.7824681951,3.0357961215,0.3,0.2,13,6,4,6,6,3,3,-2.204527956958428,false,5435,14402.428937168
0.8399110514,0.9219330343,0.6281861031,2.7091675329,2.7244374688,0.2409700166,0.3,0.2,13,6,4,6,6,3,3,-2.049428711354546,false,5442,14400.185500501
0.7826810216,0.8581311394,0.9030024608,3.8289510376,-6.503903868,7.8135000313,0.3,0.2,13,6,4,6,6,3,3,-1.745755499120375,false,5505,14402.648011899
0.7873832945,0.8337575434,0.9430507543,2.0809683378,-2.277232591,3.0173180408,0.3,0.2,13,6,4,6,6,3,3,-1.6854705237369856,false,5463,14401.721165038
0.8639698633,0.9469527272,0.896483342,1.427105699,2.9509029621,2.5145987226,0.3,0.2,13,6,4,6,6,3,3,-1.6334095843284935,false,5459,14400.754525371
0.927005407,0.9303341695,0.9083328084,2.7376679009,-0.470968505,6.1644938471,0.3,0.2,13,6,4,6,6,3,3,-1.518050795719226,false,5483,14401.399090307
0.9365533878,0.9215499973,0.8476979055,2.2598214814,-4.851965844,1.2697723031,0.3,0.2,13,6,4,6,6,3,3,-1.5985386377671718,false,5576,14400.803323142
0.9180154866,0.7678625886,0.807340471,3.0138516288,-6.656635858,2.1460034298,0.3,0.2,13,6,4,6,6,3,3,-1.6933913625674821,false,5480,14402.42152554
0.912612808,0.6151799645,0.8351534493,1.6506231777,-7.4505355,0.8017426373,0.3,0.2,13,6,4,6,6,3,3,-1.7008340984519117,false,5488,14400.733306182
